raceId,current_lap,grid,position,total_laps,statusId,year,circuitRef,driverRef,constructorRef,lap_seconds,fastest_lap_time
900,5,6,8,57,1,2014,albert_park,vergne,toro_rosso,97.592,93.864
900,6,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.357,93.864
900,7,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.263,93.864
900,8,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.798,93.864
900,9,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.093,93.864
900,10,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.359,93.864
900,11,6,8,57,1,2014,albert_park,vergne,toro_rosso,97.041,93.864
900,12,6,8,57,1,2014,albert_park,vergne,toro_rosso,143.494,93.864
900,13,6,8,57,1,2014,albert_park,vergne,toro_rosso,123.534,93.864
900,14,6,8,57,1,2014,albert_park,vergne,toro_rosso,139.749,93.864
900,15,6,8,57,1,2014,albert_park,vergne,toro_rosso,132.012,93.864
900,16,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.656,93.864
900,17,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.525,93.864
900,18,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.413,93.864
900,19,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.054,93.864
900,20,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.074,93.864
900,21,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.857,93.864
900,22,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.754,93.864
900,23,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.461,93.864
900,24,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.383,93.864
900,25,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.677,93.864
900,26,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.25,93.864
900,27,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.971,93.864
900,28,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.086,93.864
900,29,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.011,93.864
900,30,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.899,93.864
900,31,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.73,93.864
900,32,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.943,93.864
900,33,6,8,57,1,2014,albert_park,vergne,toro_rosso,115.005,93.864
900,34,6,8,57,1,2014,albert_park,vergne,toro_rosso,100.416,93.864
900,35,6,8,57,1,2014,albert_park,vergne,toro_rosso,93.864,93.864
900,36,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.162,93.864
900,37,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.642,93.864
900,38,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.097,93.864
900,39,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.957,93.864
900,40,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.015,93.864
900,41,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.791,93.864
900,42,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.009,93.864
900,43,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.238,93.864
900,44,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.379,93.864
900,45,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.352,93.864
900,46,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.11,93.864
900,47,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.825,93.864
900,48,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.739,93.864
900,49,6,8,57,1,2014,albert_park,vergne,toro_rosso,95.04,93.864
900,50,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.858,93.864
900,51,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.757,93.864
900,52,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.381,93.864
